[21664:24444:0204/112350.164:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[21664:24444:0204/112350.415:ERROR:os_crypt_win.cc(100)] Failed to decrypt: Key not valid for use in specified state. (0x8009000B)
[21664:21872:0204/112350.443:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[21664:24444:0204/112350.455:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[21664:16168:0204/112357.461:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\hahawhee\Documents\GitHub\The-Devouring-Hour\TheDevouringHour\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\hahawhee\Documents\GitHub\The-Devouring-Hour\TheDevouringHour\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21664:16168:0204/112357.466:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\hahawhee\Documents\GitHub\The-Devouring-Hour\TheDevouringHour\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\hahawhee\Documents\GitHub\The-Devouring-Hour\TheDevouringHour\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21664:16168:0204/112357.470:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\hahawhee\Documents\GitHub\The-Devouring-Hour\TheDevouringHour\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\hahawhee\Documents\GitHub\The-Devouring-Hour\TheDevouringHour\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21664:16168:0204/112357.474:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\hahawhee\Documents\GitHub\The-Devouring-Hour\TheDevouringHour\Saved\webcache_6613_1\Default\shared_proto_db\metadata: IO error: C:\Users\hahawhee\Documents\GitHub\The-Devouring-Hour\TheDevouringHour\Saved\webcache_6613_1\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21664:16168:0204/112400.326:WARNING:value_store_frontend.cc(47)] Reading ahfgeienlihckogmohjhadlkjgocpleb.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21664:16168:0204/112400.329:WARNING:value_store_frontend.cc(47)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[24176:25296:0204/112400.583:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-26A84C506F785CEF945F4301C33F3D3E will be ignored
[21664:19548:0204/112400.736:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\hahawhee\Documents\GitHub\The-Devouring-Hour\TheDevouringHour\Saved\webcache_6613_1\Default\GCM Store\Encryption: IO error: C:\Users\hahawhee\Documents\GitHub\The-Devouring-Hour\TheDevouringHour\Saved\webcache_6613_1\Default\GCM Store\Encryption/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21540:23272:0204/112438.890:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/112439.576:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -100
[21540:23272:0204/112441.035:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -100
[21540:23272:0204/112441.039:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/112451.651:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/112458.011:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/112500.390:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -100
[21540:23272:0204/112501.932:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/112502.030:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/112506.504:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/114015.607:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/114018.054:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/114018.054:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/114018.055:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/114018.055:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -101
[21540:23272:0204/114041.077:ERROR:ssl_client_socket_impl.cc(882)] handshake failed; returned -1, SSL error code 1, net_error -100
[21664:24444:0204/123500.741:WARNING:pref_notifier_impl.cc(41)] Pref observer for media_router.cast_allow_all_ips found at shutdown.
